country,both,female,male
Burkina Faso,62.98,63.78,62.06
Benin,62.84,64.45,61.23
Burundi,62.71,64.56,60.85
Guinea,62.64,63.25,61.79
Angola,62.22,65.12,59.46
Zimbabwe,62.16,63.66,60.39
Togo,62.13,63.08,61.16
Mozambique,62.13,64.95,59.05
DR Congo,61.6,63.21,60.01
Eswatini,61.05,65.67,56.98
Mali,60.54,61.39,59.69
Cameroon,60.32,61.66,58.99
Equatorial Guinea,59.82,61.08,58.76
Guinea-Bissau,59.38,61.33,57.31
Côte d'Ivoire,58.75,60.13,57.5
South Sudan,58.74,60.31,57.21
Somalia,58.34,60.11,56.62
Sierra Leone,55.92,56.78,55.01
Nigeria,55.75,56.75,54.8
Lesotho,55.65,58.9,52.52
Chad,55.17,56.65,53.73
Central African Republic,54.36,56.58,52.16
